dataId,pointId,timestamp,temperature,humidity,altitude
82,1239,2024-02-08T19:30:14.000000,0.0,96.0,4926.0
83,1252,2024-02-08T20:17:25.000000,23.8889,49.0,10.0
84,1258,2024-02-08T19:45:34.000000,6.6667,70.0,1500.0
85,1275,2024-02-08T19:29:54.000000,2.2222,59.0,3986.0
86,1300,2024-02-08T20:12:54.000000,7.7778,63.0,1797.0
87,1307,2024-02-08T14:17:24.000000,9.4444,26.0,1642.0
88,1316,2024-02-08T20:09:35.000000,1.6667,81.0,5650.0
89,1330,2024-02-08T19:57:24.000000,5.0,86.0,1900.0
90,1369,2024-02-08T19:55:14.000000,5.5556,69.0,4000.0
91,1373,2024-02-08T19:25:31.000000,-3.6111,80.0,7360.0
92,1426,2024-02-08T19:35:34.000000,3.8889,100.0,3770.0
93,1439,2024-02-08T20:06:05.000000,0.0,94.0,2176.0
94,1451,2024-02-08T19:31:34.000000,22.7778,49.0,72.0
95,1461,2024-02-08T19:36:44.000000,-0.5556,99.0,5725.0
96,1462,2024-02-08T14:15:44.000000,0.5556,76.0,1130.0
97,1476,2024-02-08T19:26:04.000000,7.2222,57.0,2880.0
98,1479,2024-02-08T19:33:24.000000,-1.6667,92.0,7399.0
99,1496,2024-02-08T20:06:54.000000,15.0,41.0,706.0
100,1522,2024-02-08T14:16:31.000000,7.2222,46.0,1142.0
101,1532,2024-02-08T20:23:01.000000,17.2222,65.0,3129.0
102,1575,2024-02-08T19:31:29.000000,11.1111,31.0,2317.0
103,1591,2024-02-08T20:09:34.000000,8.3333,61.0,1563.0
104,1594,2024-02-08T19:59:54.000000,22.2222,42.0,203.0
105,1622,2024-02-08T20:10:04.000000,11.6667,54.0,1619.0
106,1628,2024-02-08T15:26:04.000000,12.2222,50.0,445.0
107,1646,2024-02-08T19:57:24.000000,-3.8889,91.0,8685.0
108,1674,2024-02-08T20:00:54.000000,4.4444,59.0,4133.0
109,1693,2024-02-08T20:07:34.000000,16.6667,48.0,420.0
110,1695,2024-02-08T19:59:14.000000,9.4444,69.0,354.0
111,1719,2024-02-08T20:04:04.000000,-4.4444,89.0,8509.0
112,1735,2024-02-08T20:14:34.000000,0.5556,79.0,4188.0
113,1752,2024-02-08T20:10:05.000000,16.6667,34.0,278.0
114,1807,2024-02-08T19:35:04.000000,17.2222,76.0,3274.0
115,1810,2024-02-08T20:10:51.000000,6.1111,56.0,2992.0
116,1831,2024-02-08T20:01:44.000000,-3.8889,37.0,9235.0
117,1835,2024-02-08T19:33:14.000000,8.3333,71.0,1890.0
118,1858,2024-02-08T19:56:19.000000,3.8889,79.0,6155.0
119,1872,2024-02-08T19:50:31.000000,17.7778,27.0,2839.0
120,1873,2024-02-08T20:03:45.000000,1.6667,68.0,5590.0
121,1886,2024-02-08T19:27:24.000000,8.3333,73.0,2055.0
122,1913,2024-02-08T17:12:04.000000,15.0,20.0,2280.0
123,1930,2024-02-08T20:07:24.000000,11.1111,29.0,1408.0
124,1934,2024-02-08T20:08:14.000000,-1.1111,89.0,2515.0
125,1958,2024-02-08T19:25:34.000000,5.0,74.0,2499.0
126,1964,2024-02-08T14:17:54.000000,2.7778,64.0,1705.0
127,1968,2024-02-08T19:55:34.000000,11.1111,57.0,1278.0
128,1975,2024-02-08T20:15:54.000000,2.7778,79.0,3652.0
129,1987,2024-02-08T20:13:05.000000,2.7778,100.0,3064.0
130,2000,2024-02-08T20:12:41.000000,10.0,61.0,1436.0
131,2010,2024-02-08T20:19:44.000000,16.1111,80.0,280.0
132,2026,2024-02-08T19:50:04.000000,8.8889,81.0,627.0
133,2032,2024-02-08T20:11:55.000000,1.1111,76.0,4020.0
134,2037,2024-02-08T19:50:44.000000,10.0,72.0,644.0
135,2040,2024-02-08T20:03:34.000000,12.2222,54.0,1079.0
136,2070,2024-02-08T19:37:04.000000,-1.6667,89.0,6717.0
137,2095,2024-02-08T19:59:44.000000,21.1111,44.0,167.0
138,2096,2024-02-08T15:50:24.000000,7.2222,93.0,455.0
139,2122,2024-02-08T19:28:34.000000,8.8889,62.0,1029.0
140,2126,2024-02-08T20:20:44.000000,6.1111,80.0,2728.0
141,2130,2024-02-08T19:56:09.000000,1.6667,77.0,5632.0
142,2148,2024-02-08T19:25:05.000000,-20.5556,79.0,674.0
143,2155,2024-02-08T19:59:34.000000,19.4444,55.0,206.0
144,2157,2024-02-08T20:09:54.000000,20.0,59.0,290.0
145,2184,2024-02-08T15:50:44.000000,7.2222,64.0,2044.0
146,2241,2024-02-08T19:55:16.000000,0.0,82.0,5049.0
147,2264,2024-02-08T20:14:54.000000,13.8889,48.0,1317.0
148,2278,2024-02-08T19:34:23.000000,-9.8889,78.2,2651.0
149,2314,2024-02-08T20:12:34.000000,-0.5556,79.0,6625.0
150,2334,2024-02-08T20:12:34.000000,17.2222,39.0,774.0
151,2358,2024-02-08T20:09:54.000000,16.6667,35.0,217.0
152,2385,2024-02-08T19:27:34.000000,-12.2222,79.0,1650.0
153,2388,2024-02-08T19:49:34.000000,24.4444,68.0,102.0
154,2401,2024-02-08T19:29:35.000000,-12.2222,57.0,790.0
155,2404,2024-02-08T20:11:24.000000,-0.5556,100.0,4686.0
156,2412,2024-01-29T00:18:44.000000,-28.8889,64.0,2408.0
157,2434,2024-02-08T20:06:05.000000,7.7778,38.0,3280.0
158,2439,2024-02-08T19:56:34.000000,-2.2222,97.0,470.0
159,2456,2024-02-08T19:51:14.000000,5.0,90.0,1733.0
160,2471,2024-02-08T19:29:54.000000,7.7778,73.0,1934.0
161,2511,2024-02-08T15:51:24.000000,-7.2222,93.0,175.0
162,2550,2024-02-08T19:58:14.000000,-2.2222,84.0,8254.0
163,2563,2024-02-08T19:33:04.000000,15.5556,28.0,245.0
164,2577,2024-02-08T20:13:04.000000,0.5556,81.0,3800.0
165,2583,2024-02-08T20:07:04.000000,16.1111,28.0,275.0
166,2598,2024-02-08T20:01:14.000000,5.5556,71.0,5068.0
167,2600,2024-02-08T19:25:44.000000,5.5556,69.0,2700.0
168,2608,2024-02-08T20:02:04.000000,0.5556,84.0,5240.0
169,2609,2024-02-08T19:34:51.000000,5.0,53.0,3375.0
170,2610,2024-02-08T19:57:24.000000,6.1111,73.0,2163.0
171,2617,2024-02-08T19:55:09.000000,8.3333,96.0,289.0
172,2621,2024-02-08T20:13:24.000000,8.3333,93.0,1284.0
173,2646,2024-02-08T19:34:21.000000,12.2222,39.0,198.0
174,2654,2024-02-08T20:13:34.000000,13.3333,66.0,292.0
175,2661,2024-02-08T17:25:35.000000,5.0,50.0,1245.0
176,2677,2024-02-08T20:22:14.000000,11.6667,77.0,1017.0
