dataId,pointId,timestamp,temperature,humidity,altitude,latitude,longitude
58,52.52_13.41,2024-03-05T09:00:00.000000,5.1085,76.7308,38.0,52.52,13.41
59,52.52_13.41,2024-03-05T10:00:00.000000,6.4084997,66.926994,38.0,52.52,13.41
60,52.52_13.41,2024-03-05T11:00:00.000000,6.8585,61.686546,38.0,52.52,13.41
61,52.52_13.41,2024-03-05T12:00:00.000000,7.0585,59.31972,38.0,52.52,13.41
62,52.52_13.41,2024-03-05T13:00:00.000000,6.3085,64.52958,38.0,52.52,13.41
63,52.52_13.41,2024-03-05T14:00:00.000000,6.1584997,63.56536,38.0,52.52,13.41
64,52.52_13.41,2024-03-05T15:00:00.000000,5.8585,63.726646,38.0,52.52,13.41
65,52.52_13.41,2024-03-05T16:00:00.000000,5.4084997,64.08774,38.0,52.52,13.41
66,52.52_13.41,2024-03-05T17:00:00.000000,4.9084997,68.817474,38.0,52.52,13.41
67,52.52_13.41,2024-03-05T18:00:00.000000,4.5084996,71.541306,38.0,52.52,13.41
68,52.52_13.41,2024-03-05T19:00:00.000000,4.0585,74.63997,38.0,52.52,13.41
69,52.52_13.41,2024-03-05T20:00:00.000000,2.6585,82.090866,38.0,52.52,13.41
70,52.52_13.41,2024-03-05T21:00:00.000000,1.2585001,88.11652,38.0,52.52,13.41
71,52.52_13.41,2024-03-05T22:00:00.000000,-0.1415,90.28182,38.0,52.52,13.41
72,52.52_13.41,2024-03-05T23:00:00.000000,-0.79150003,90.9006,38.0,52.52,13.41
73,52.52_13.41,2024-03-06T00:00:00.000000,-0.24150002,91.61006,38.0,52.52,13.41
74,52.52_13.41,2024-03-06T01:00:00.000000,-0.99149996,90.88622,38.0,52.52,13.41
75,52.52_13.41,2024-03-06T02:00:00.000000,-1.1415,91.8891,38.0,52.52,13.41
76,52.52_13.41,2024-03-06T03:00:00.000000,-0.8415,92.58817,38.0,52.52,13.41
77,52.52_13.41,2024-03-06T04:00:00.000000,-0.54150003,93.63152,38.0,52.52,13.41
78,52.52_13.41,2024-03-06T05:00:00.000000,-0.4415,93.98047,38.0,52.52,13.41
79,52.52_13.41,2024-03-06T06:00:00.000000,-0.4415,95.01878,38.0,52.52,13.41
80,52.52_13.41,2024-03-06T07:00:00.000000,1.2085,94.059204,38.0,52.52,13.41
81,52.52_13.41,2024-03-06T08:00:00.000000,3.5585,89.91474,38.0,52.52,13.41
82,52.52_13.41,2024-03-06T09:00:00.000000,5.6085,79.31733,38.0,52.52,13.41
83,52.52_13.41,2024-03-06T10:00:00.000000,6.7085,64.62126,38.0,52.52,13.41
84,52.52_13.41,2024-03-06T11:00:00.000000,6.9084997,61.92261,38.0,52.52,13.41
85,52.52_13.41,2024-03-06T12:00:00.000000,7.1584997,61.092133,38.0,52.52,13.41
86,52.52_13.41,2024-03-06T13:00:00.000000,6.8585,67.50789,38.0,52.52,13.41
87,52.52_13.41,2024-03-06T14:00:00.000000,6.8585,67.993965,38.0,52.52,13.41
88,52.52_13.41,2024-03-06T15:00:00.000000,6.6584997,69.1815,38.0,52.52,13.41
89,52.52_13.41,2024-03-06T16:00:00.000000,6.5084996,72.44408,38.0,52.52,13.41
90,52.52_13.41,2024-03-06T17:00:00.000000,5.4084997,83.627754,38.0,52.52,13.41
91,52.52_13.41,2024-03-06T18:00:00.000000,5.3085,86.9331,38.0,52.52,13.41
92,52.52_13.41,2024-03-06T19:00:00.000000,5.1085,88.461624,38.0,52.52,13.41
93,52.52_13.41,2024-03-06T20:00:00.000000,4.9585,89.705925,38.0,52.52,13.41
94,52.52_13.41,2024-03-06T21:00:00.000000,4.9084997,90.97571,38.0,52.52,13.41
95,52.52_13.41,2024-03-06T22:00:00.000000,4.9084997,92.26541,38.0,52.52,13.41
96,52.52_13.41,2024-03-06T23:00:00.000000,4.7584996,93.8931,38.0,52.52,13.41
97,52.52_13.41,2024-03-07T00:00:00.000000,4.7085,93.89071,38.0,52.52,13.41
98,52.52_13.41,2024-03-07T01:00:00.000000,4.7584996,93.56372,38.0,52.52,13.41
99,52.52_13.41,2024-03-07T02:00:00.000000,4.8085,92.58459,38.0,52.52,13.41
100,52.52_13.41,2024-03-07T03:00:00.000000,4.1085,91.24259,38.0,52.52,13.41
101,52.52_13.41,2024-03-07T04:00:00.000000,2.4085,90.79922,38.0,52.52,13.41
102,52.52_13.41,2024-03-07T05:00:00.000000,0.95849997,89.70954,38.0,52.52,13.41
103,52.52_13.41,2024-03-07T06:00:00.000000,0.4085,89.66535,38.0,52.52,13.41
104,52.52_13.41,2024-03-07T07:00:00.000000,1.3085,87.80093,38.0,52.52,13.41
105,52.52_13.41,2024-03-07T08:00:00.000000,2.7085001,81.208435,38.0,52.52,13.41
106,52.52_13.41,2024-03-07T09:00:00.000000,4.3585,72.82263,38.0,52.52,13.41
107,52.52_13.41,2024-03-07T10:00:00.000000,5.4585,58.698025,38.0,52.52,13.41
108,52.52_13.41,2024-03-07T11:00:00.000000,5.9084997,56.479156,38.0,52.52,13.41
109,52.52_13.41,2024-03-07T12:00:00.000000,6.5084996,54.79295,38.0,52.52,13.41
110,52.52_13.41,2024-03-07T13:00:00.000000,7.5585,55.477768,38.0,52.52,13.41
111,52.52_13.41,2024-03-07T14:00:00.000000,7.6085,54.288113,38.0,52.52,13.41
112,52.52_13.41,2024-03-07T15:00:00.000000,7.2085,54.579124,38.0,52.52,13.41
113,52.52_13.41,2024-03-07T16:00:00.000000,6.2584996,59.55206,38.0,52.52,13.41
114,52.52_13.41,2024-03-07T17:00:00.000000,4.1085,65.45067,38.0,52.52,13.41
115,52.52_13.41,2024-03-07T18:00:00.000000,2.8585,69.146,38.0,52.52,13.41
116,52.52_13.41,2024-03-07T19:00:00.000000,2.0585,72.9216,38.0,52.52,13.41
117,52.52_13.41,2024-03-07T20:00:00.000000,1.4585,76.39887,38.0,52.52,13.41
118,52.52_13.41,2024-03-07T21:00:00.000000,1.1085,78.34198,38.0,52.52,13.41
119,52.52_13.41,2024-03-07T22:00:00.000000,0.6585,80.62322,38.0,52.52,13.41
120,52.52_13.41,2024-03-07T23:00:00.000000,0.1585,83.28167,38.0,52.52,13.41
121,52.52_13.41,2024-03-08T00:00:00.000000,-0.3915,85.71731,38.0,52.52,13.41
122,52.52_13.41,2024-03-08T01:00:00.000000,-1.3414999,86.89901,38.0,52.52,13.41
123,52.52_13.41,2024-03-08T02:00:00.000000,-1.4914999,86.88379,38.0,52.52,13.41
124,52.52_13.41,2024-03-08T03:00:00.000000,-1.5415,87.20338,38.0,52.52,13.41
125,52.52_13.41,2024-03-08T04:00:00.000000,-1.5415,87.52912,38.0,52.52,13.41
126,52.52_13.41,2024-03-08T05:00:00.000000,-1.6415,88.50388,38.0,52.52,13.41
127,52.52_13.41,2024-03-08T06:00:00.000000,-1.6415,88.834206,38.0,52.52,13.41
128,52.52_13.41,2024-03-08T07:00:00.000000,-0.1415,86.699455,38.0,52.52,13.41
129,52.52_13.41,2024-03-08T08:00:00.000000,1.7085,80.18307,38.0,52.52,13.41
130,52.52_13.41,2024-03-08T09:00:00.000000,3.7585,74.31566,38.0,52.52,13.41
131,52.52_13.41,2024-03-08T10:00:00.000000,5.3085,63.597786,38.0,52.52,13.41
132,52.52_13.41,2024-03-08T11:00:00.000000,6.2584996,59.117878,38.0,52.52,13.41
133,52.52_13.41,2024-03-08T12:00:00.000000,7.0585,56.780888,38.0,52.52,13.41
134,52.52_13.41,2024-03-08T13:00:00.000000,7.5084996,54.659676,38.0,52.52,13.41
135,52.52_13.41,2024-03-08T14:00:00.000000,7.6584997,55.91041,38.0,52.52,13.41
136,52.52_13.41,2024-03-08T15:00:00.000000,7.4585,56.266678,38.0,52.52,13.41
137,52.52_13.41,2024-03-08T16:00:00.000000,6.6584997,58.360367,38.0,52.52,13.41
138,52.52_13.41,2024-03-08T17:00:00.000000,4.9084997,62.808044,38.0,52.52,13.41
139,52.52_13.41,2024-03-08T18:00:00.000000,3.8585,67.34843,38.0,52.52,13.41
140,52.52_13.41,2024-03-08T19:00:00.000000,3.2085001,70.50443,38.0,52.52,13.41
141,52.52_13.41,2024-03-08T20:00:00.000000,2.6585,73.57388,38.0,52.52,13.41
142,52.52_13.41,2024-03-08T21:00:00.000000,2.1085,77.356094,38.0,52.52,13.41
143,52.52_13.41,2024-03-08T22:00:00.000000,1.6085,81.05531,38.0,52.52,13.41
144,52.52_13.41,2024-03-08T23:00:00.000000,1.2085,84.334724,38.0,52.52,13.41
145,52.52_13.41,2024-03-09T00:00:00.000000,0.8585,86.80119,38.0,52.52,13.41
146,52.52_13.41,2024-03-09T01:00:00.000000,0.6585,87.7397,38.0,52.52,13.41
147,52.52_13.41,2024-03-09T02:00:00.000000,0.3585,89.66132,38.0,52.52,13.41
148,52.52_13.41,2024-03-09T03:00:00.000000,0.108500004,90.96487,38.0,52.52,13.41
149,52.52_13.41,2024-03-09T04:00:00.000000,-0.041500002,91.62331,38.0,52.52,13.41
150,52.52_13.41,2024-03-09T05:00:00.000000,-0.1415,92.290665,38.0,52.52,13.41
151,52.52_13.41,2024-03-09T06:00:00.000000,0.108500004,92.64391,38.0,52.52,13.41
152,52.52_13.41,2024-03-09T07:00:00.000000,1.6085,88.79056,38.0,52.52,13.41
153,52.52_13.41,2024-03-09T08:00:00.000000,3.6085,83.10852,38.0,52.52,13.41
